voter,txid,for,power
SP360XZY8BAEV22YC2E1S7STRBRZWN8WEP07MFPV6,0x6b589e691f9172ee0e25eddb20b7fcc8b900d4b66a1cd96c352440341eb42877,true,1100000
SP3YAYV2F7GQV833K0J72ESAVD92MXE46N7SZN58R,0x34bcde19f393565deb8eab26cb10cac72f5342ccfdd60b79441230f27ef3c545,true,1419822
SP243QG2P4SY34JVGDRGGVW5FNE9XWQZJ77PRFHRP,0xd4a819f99c6ac9fab2a8b6e2c330cd3cd13528487de36865b8a15172e32c9e28,true,1275413
SP39YBTTN2VV61F6AZRVT9F75SDPCTKH0TV313CEN,0xe6ad85f0c9496e88000e02b684dfe5a726058b59a9f4431c8ca2ad81147e124f,true,1100000
SP3HWZB4KFBSWK886D6CK4ZBZ6CTFM2EXJKVDETZ7,0xe385bf4b9a7f5875ee3d5f30ea818c53957882c67c79bb80c3cbb16bdba3ec9c,true,1100000
SP1A6SG4G6FCJCP10QK9NKDH2KD6KW1WPG1J354ZP,0x6f01701c77352261a4ab82dd6af7a051d3135151411b0e370d84cc98d72a4a1c,true,1150000
SP2SACH111M97FZWN2Z8XMJ1FCKSJM3NGE37MGXAT,0xf784396f0f315a495fce9d945bcfbfb689cf5e073c93b6332bcabbd9651a2f4c,true,149124536
SP28F5HQ6KKNJ2ZG8016BGB2VJHBW9ESFC3RAHQP7,0x6b24eaf250e937b205dc56533aa4eba55fe21249daf54e048f4bb98d62558476,true,10808425
SP2CEBH7PWF2SJ1CBH94TMT0D08P462HRGBKHFM6D,0x8b864356d9d6d5f520705adc83009f1a8b717b415665770f2d82aca55a7a704e,true,2285260
SP3X8T8SA3FPRK6S8RD5XZEH9K44SP3KFJFEP4SQM,0xf88659464d5fb413388b2600b17269e7ca8055d9ef9589cab791cd9b43a7e529,true,1574211
SP2Y6PN1W5F97RZ2ENNSAADVWBFDF3GCVC4YZ71CN,0x80993eed69eaf82076a097a6205a637f6c9c495b733bdea053e93f7b8b5085e2,true,199662565
SP1M2KY35ND63DRY71WNSRH5JA2Q5VHZ0HXF8M6RJ,0x6d8d1a34794fe7871de30b4ed5edcef8108764d5dc62531d88ed059c70c56ce1,true,2000000
SP2FGK1JPBZ25SXCV7Y3F9B5RTW9EB5R4VVQPB0SC,0xe2d67e72aafeb1d5d53c7c5ce55bbef7cde5ca35964c89b4f80dda4b1d42e50d,true,14598090
SP32X4AF7D5JNA0PRFBEVRRT8K57C5B6WFV130Z5A,0x2b6dad48e03326a4e05d1d427ade5053a14bef0ec307af5f5e30aa4aa8aad122,true,3043660
SP3G0FTJARHAF89P14SX1P9E3E9E4HT008VX2PNRZ,0x673ffb5999adaaf2e79789eead5f2bbf1ccc553ac7643315d490ae98567995e8,true,2130613
SP18DGDASP836GWESYYRBCF3S6XZBWPV8GBV82TJS,0x5ab4363f85bf926005db51653614d3dbb096b60980e062b94b3d07c19294779b,true,2050975
