voter,txid,for,power
SP2Z2CBMGWB9MQZAF5Z8X56KS69XRV3SJF4WKJ7J9,0xfcb85e802e3fb55a712589f27771b0ba06807e2dfde5bb63123dee2cc0f0d446,true,1999000000
SP39ZYHN0GRAA9FBE43QGQ2HFS3PRWZGE1JCQRWYH,0x722c3009c9446f1ad01b6f542100ba359afd35033d751e691704a98bf2b6e459,true,298000000
SP1NX4J8WPXR8KYVYMV2AF97Q5R6XJ8VVFSXMEDQ3,0xb22895e5ac0e2aecb8fd9ef16aa347a0836a52e2b281d271336b82c50e9a0464,true,24822000000
SP2JCF3ME5QC779DQ2X1CM9S62VNJF44GC23MKQXK,0x6e490a6cdb58a6ab885927abe09300a549bac71f331e8b77decf12713cf55d47,true,279996000000
SPKS1G7EQHP6FCFPFQW9S1913EAHHGHX0493F14V,0xe78ab7a0da4b986c83c25bf3d1709b793459054fa8991101f7703c2717bae279,true,62954000000
SPQZ94RC1JB4YQYDD17WSH397G83RP21G8Z9CHSM,0xbb1c26ff2d339cea72eeff51ea4cc2585c35deac7af5c0d7a329381915f03f2d,true,20398000000
SP760GCSGE6K8EX9EMW9QE12NY6QAPVAHFHNVZYA,0x221da41fefb27565dc682efbcc04a0e5ed3d905ec9d138ea2eaa23819512073e,true,4665000000
SP26HQEB01J47QGKGSDP6XJ6Z5TCM7ZEGAB6TXQPN,0xd983591ab70d8c91aa50bd172e24f2b4613ee16a00441b73bfb008d9ae2bcecc,true,4665000000
SPP74WS833MY99FXA1H2QC64RFMVCNZ37765FM3R,0x9616daa15b9676689587b5ad3cd9459ecdfbbd262751d116a7524c2f535e5aab,true,119000000
SP2F0DP9Z3KSS0DABDBJN0DA0SHMCVWHXPVTH3PJJ,0xb732b3a063a788ef076859a833cdfeb4eb89614d30adc5e6578719c29645af90,true,99000000
SP3S3X4WCNPTDZW0623D5MGFK6K8WR8PSQAXTY505,0x679962316ec535cb60c97d247fa49cee3d765f57893fc624343bb5c5ec927877,true,1053996000000
SP3N2RARPZ4FZP7JHJTXF30NAHQ0T9EYG4QZG4DJ5,0xbdf0a3d6fcb284a13d5cf1c18160d3d19d829fb63ded4a909de780bf6304df54,true,1680000000
SP2CM2RVAAKEJ4BF8AD5KV7B84FN2KPRM0A578AE6,0x93dad6e055d2fd40553acb6157f69ca94fd5ea200983b18b7a4e8839db3ac294,true,499999999519
SP2W7WXBSVXGQGDBM03C691T5ZGTV9EQ7NVJH9H19,0x1d6695f3b2bfd5e3f21c42ff71e705fc6da639b8a6ebc025118915e70050d168,true,1044412696452
SP2KW6DXVTR0SJGY3GN8GMPRP0KK2J8B9T4PMJWEP,0xd9f9198c3b3b361e131dbf36c3def9c5b3e019016cc7ef7e619e7d7df7ebb847,true,799999000000
SPZFXRQMCWCYJWM0MCJ6RVRX1AX6297SJ50VE41R,0x812ea10afd1254f220362d9053f4fec22e277b94e8f8dabce8aa68fba35c4d5f,true,5048000000
SP329M6CS0S3738Z0T268FXQXBSX0ZD1FZVBZS037,0x26690a514edd9bb8f928589fd5c5d5cef1b40133a70b98e2ff6f9ee7f12c0cd5,true,747000000
SPSTE5R54386QDCDNJJWH2EXQFST44QYZW3RPMD3,0x9a5cd39860cc26634377562d4b8719e32e10ebb4b1bddc2e13e9bb2e2402e8c5,true,299000000
SP12RR3Q6P9RAM5C4MJNFQ2PP17QRNNJ81VC9MEW2,0x48d58940464170fe2ecfae5b07624508b2f07422237fbec6dfde309d59030ca7,true,198000000
SP2Q5WHA9NAGWQV500HSV93SEG8PJDNC6FAH88EP4,0x9996688c703ba74ca7def85b6f196520ae9dbd1b12ee1a24ca0bf26435953666,true,219999000000
SPGTGMQWQ24S4SDZE9QV7TH6J2M9PEPQX6DKRTX4,0x5c4b4179ff3e009eb6e45546c95d7f7afa455afbd43a36fcc453d6bc29a073c8,true,970741646
SP30JZHPM23NN4KRNBZWCKRW6HGKN7EYKFKP9HBBN,0x5cb28fbcf7157ef4598c07ae242ae0641ac874cef7cb8f38e3819b581b1eed07,true,59997000000
SP3BNT6YEYFMVTT9V8MMY8ZKM4P9M3SY9X9PDJVEB,0xa1cd335ea715d27d035792e9b88df71e59ad56a0a4b6234e7ba535653bb34a98,true,11998000000
